State,Women_Obesity,Men_Obesity,Children_Anaemia,Women_Anaemia,Women_BloodSugar,Men_BloodSugar,Women_Hypertension,Men_Hypertension,Gender_Obesity_Gap,Adult_Obesity
Andaman & Nicobar Islands,38.1,45.3,40.0,57.5,17.5,17.9,25.3,30.2,-7.199999999999996,41.7
Andhra Pradesh,36.3,31.1,63.2,58.8,19.5,21.8,25.3,29.0,5.199999999999996,33.7
Arunachal Pradesh,23.9,27.6,56.6,40.3,8.4,11.9,24.9,33.1,-3.700000000000003,25.75
Assam,15.2,16.2,68.4,65.9,12.8,16.0,19.1,20.3,-1.0,15.7
Bihar,15.9,14.7,69.4,63.5,12.7,16.2,15.9,18.4,1.200000000000001,15.3
Chandigarh,44.0,34.4,54.6,60.3,19.0,16.6,25.0,30.6,9.6,39.2
Chhattisgarh,14.1,14.9,67.2,60.8,9.0,10.8,23.6,27.7,-0.8000000000000007,14.5
Dadra and Nagar Haveli & Daman and Diu,26.8,21.4,75.8,62.5,13.6,16.4,14.9,15.4,5.400000000000002,24.1
Goa,36.1,32.6,53.2,39.0,20.8,24.1,27.5,26.8,3.5,34.35
Gujarat,22.6,19.9,79.7,65.0,15.8,16.9,20.6,20.3,2.700000000000003,21.25
Haryana,33.1,28.3,70.4,60.4,11.9,13.5,21.0,25.1,4.800000000000001,30.700000000000003
Himachal Pradesh,30.4,30.6,55.4,53.0,13.9,14.7,22.2,24.4,-0.2000000000000028,30.5
Jammu & Kashmir,29.3,31.6,72.7,65.9,8.7,8.0,20.0,18.9,-2.3000000000000007,30.450000000000003
Jharkhand,11.9,15.1,67.5,65.3,10.2,14.1,17.8,22.6,-3.1999999999999997,13.5
Karnataka,30.1,30.9,65.5,47.8,14.0,15.6,25.0,26.9,-0.7999999999999972,30.5
Kerala,38.1,36.4,39.4,36.3,24.8,27.0,30.9,32.8,1.7000000000000028,37.25
Ladakh,28.3,37.8,92.5,92.8,6.7,8.3,15.7,17.4,-9.499999999999996,33.05
Lakshadweep,33.5,41.3,43.1,25.8,19.5,20.7,24.8,24.7,-7.799999999999997,37.4
Madhya Pradesh,16.6,15.6,72.7,54.7,9.8,12.2,20.6,22.7,1.0000000000000018,16.1
Maharastra,23.4,24.7,68.9,54.2,12.4,13.6,23.1,24.4,-1.3000000000000007,24.049999999999997
Manipur,34.1,30.3,42.8,29.4,13.6,16.5,23.0,33.2,3.8000000000000007,32.2
Meghalaya,11.5,13.9,45.1,53.8,9.5,13.9,18.7,21.4,-2.4000000000000004,12.7
Mizoram,24.2,31.9,46.4,34.8,13.8,15.4,17.7,25.2,-7.699999999999999,28.049999999999997
Nagaland,14.4,23.9,42.7,28.9,9.3,12.4,22.4,28.7,-9.499999999999998,19.15
NCT of Delhi,41.3,38.0,69.2,49.9,12.2,14.1,24.1,32.8,3.299999999999997,39.65
Odisha,23.0,22.2,64.2,64.3,14.0,17.0,22.4,25.6,0.8000000000000007,22.6
Puducherry,46.2,43.3,64.0,55.1,20.1,21.7,23.0,30.1,2.9000000000000057,44.75
Punjab,40.8,32.2,71.1,58.7,14.7,14.1,31.2,37.7,8.599999999999994,36.5
Rajasthan,12.9,15.0,71.5,54.4,7.2,8.9,15.4,17.9,-2.1,13.95
Sikkim,34.7,36.3,56.4,42.1,12.2,15.7,34.5,41.6,-1.5999999999999943,35.5
Tamil Nadu,40.4,37.0,57.4,53.4,20.7,22.1,24.8,30.2,3.3999999999999986,38.7
Telangana,30.1,32.3,70.0,57.6,14.7,18.1,26.1,31.4,-2.199999999999996,31.2
Tripura,21.5,23.4,64.3,67.2,17.7,19.3,20.9,22.7,-1.8999999999999984,22.45
Uttar Pradesh,21.3,18.5,66.4,50.4,10.0,11.6,18.4,21.7,2.8000000000000007,19.9
Uttarakhand,29.7,27.1,58.8,42.6,10.8,14.3,22.9,31.8,2.599999999999998,28.4
